City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,vysokaya gora,55.9128,49.3017,17.58000000000004,96,94,4.63,RU,1721587251
96,teluknaga,-6.0989,106.6381,28.27000000000004,78,87,1.34,ID,1721587252
97,kaa-khem,51.6833,94.7333,17.110000000000014,87,100,2.15,RU,1721587253
98,moramanga,-18.9333,48.2,11.560000000000002,98,8,0.3,MG,1721587254
99,al mutayrifi,25.4788,49.5576,33.43000000000001,25,100,1.36,SA,1721587255
100,anadyr,64.75,177.4833,10.560000000000002,87,100,1.79,RU,1721587257
101,fort bragg,35.139,-79.006,31.78000000000003,73,92,1.92,US,1721587258
102,auburn,47.3073,-122.2284,22.730000000000018,41,86,2.72,US,1721586572
103,urucara,-2.5364,-57.76,35.59000000000003,33,54,2.14,BR,1721587260
104,ciudad lazaro cardenas,17.9583,-102.2,30.560000000000002,63,88,4.89,MX,1721587261
105,castillos,-34.1667,-53.8333,19.430000000000007,75,85,2.92,UY,1721587262
106,yokadouma,3.5167,15.05,22.74000000000001,82,65,0.46,CM,1721587263
107,tolanaro,-25.0319,46.9987,19.07000000000005,87,91,1.38,MG,1721587265
108,magadan,59.5667,150.8,13.010000000000048,93,100,1.51,RU,1721587266
109,palmas,-10.2128,-48.3603,34.0,21,10,3.26,BR,1721587051
110,zhosaly,45.4878,64.0781,28.58000000000004,33,13,4.5,KZ,1721587269
111,bubaque,11.2833,-15.8333,27.02000000000004,84,100,6.85,GW,1721587270
112,adam,22.3756,57.5233,32.79000000000002,47,13,3.79,OM,1721587271
113,tarifa,36.0139,-5.607,21.689999999999998,82,0,4.57,ES,1721587272
114,stanley,54.868,-1.6985,16.510000000000048,71,60,2.82,GB,1721587273
115,tayu,-6.5397,111.0518,23.24000000000001,83,100,3.8,ID,1721587274
116,lynn haven,30.2455,-85.6483,29.460000000000036,73,75,5.12,US,1721587276
117,isafjordur,66.0755,-23.124,4.980000000000018,96,98,4.19,IS,1721587277
118,jamestown,42.097,-79.2353,27.230000000000018,50,100,1.34,US,1721587278
119,ola,59.5833,151.2833,12.82000000000005,94,100,1.41,RU,1721587279
120,jinjing,24.575,118.5972,28.640000000000043,82,4,2.36,CN,1721587280
121,whitehorse,60.7161,-135.0538,23.390000000000043,42,52,1.02,CA,1721587281
122,sena madureira,-9.0656,-68.6569,36.83000000000004,25,17,0.81,BR,1721587282
123,colonia,50.9333,6.95,23.860000000000014,74,10,2.89,DE,1721587283
124,labrador city,52.9463,-66.9114,11.770000000000039,59,98,16.09,CA,1721587211
125,taltal,-25.4,-70.4833,15.730000000000018,66,0,2.53,CL,1721587286
126,enewetak,11.3474,162.3373,28.390000000000043,79,96,7.05,MH,1721587287
127,ulsteinvik,62.3432,5.8487,18.879999999999995,88,100,4.02,NO,1721587288
128,weno,7.4515,151.8468,28.57000000000005,80,100,5.14,FM,1721587289
129,kavaratti,10.5669,72.642,27.340000000000032,88,100,5.08,IN,1721587290
130,nar'yan-mar,67.6713,53.087,10.710000000000036,67,90,2.04,RU,1721587291
131,al hawatah,13.4167,34.6333,26.650000000000034,71,74,4.72,SD,1721587293
132,iskateley,67.6803,53.1512,10.689999999999998,67,91,2.08,RU,1721587294
133,kendari,-3.945,122.4989,23.04000000000002,96,83,0.76,ID,1721587295
134,huarmey,-10.0681,-78.1522,20.05000000000001,67,0,5.56,PE,1721587296
135,erbil,36.1926,44.0106,35.59000000000003,20,0,3.11,IQ,1721587297
136,pasuquin,18.3328,120.6177,27.170000000000016,81,100,1.73,PH,1721587298
137,port augusta,-32.5,137.7667,8.480000000000018,50,0,3.34,AU,1721587299
138,gokwe,-18.2048,28.9349,17.390000000000043,27,0,1.82,ZW,1721587300
139,dhulia,20.9,74.7833,26.510000000000048,81,100,7.74,IN,1721587302
140,belyy yar,53.6039,91.3903,16.600000000000023,97,100,5.26,RU,1721587303
141,la'ie,21.6477,-157.9253,27.470000000000027,78,100,0.89,US,1721587305
142,crane,31.3974,-102.3501,32.83000000000004,33,100,4.21,US,1721587306
143,san julian,21.0167,-102.1667,23.33000000000004,51,58,2.78,MX,1721587307
144,kamensk-ural'skiy,56.4185,61.9329,14.670000000000016,76,100,4.7,RU,1721587308
145,udachny,66.4167,112.4,15.720000000000027,93,100,6.33,RU,1721587310
146,lepsy,46.235,78.9456,25.700000000000045,35,0,2.3,KZ,1721587311
147,klaksvik,62.2266,-6.589,11.28000000000003,87,85,10.32,FO,1721587312
148,sahibganj,25.25,87.65,28.400000000000034,84,78,5.47,IN,1721587313
149,thompson,55.7435,-97.8558,31.610000000000014,30,1,1.52,CA,1721587314
150,quellon,-43.1167,-73.6167,11.32000000000005,74,9,0.62,CL,1721587315
151,san luis de la loma,17.2706,-100.8939,27.430000000000007,82,100,2.98,MX,1721587317
152,shingu,33.7333,135.9833,25.5,94,35,2.81,JP,1721587318
153,fengxiang,47.5833,130.8333,18.470000000000027,92,0,3.48,CN,1721587319
154,lihue,21.9789,-159.3672,26.310000000000002,84,58,5.26,US,1721587320
155,petropavlovsk-kamchatsky,53.0452,158.6483,11.990000000000009,85,93,0.32,RU,1721587321
156,lakshmeshwar,15.1333,75.4667,21.910000000000025,91,100,6.86,IN,1721587322
157,shimanovsk,52.0,127.7,16.350000000000023,98,22,2.35,RU,1721587323
158,nova sintra,14.8667,-24.7167,24.970000000000027,77,0,6.59,CV,1721587325
159,antsiranana,-12.2787,49.2917,22.390000000000043,84,4,5.39,MG,1721587326
160,margaret river,-33.95,115.0667,16.950000000000045,66,53,9.47,AU,1721587327
161,port mathurin,-19.6833,63.4167,22.75,70,8,6.25,MU,1721587328
162,port alfred,-33.5906,26.891,13.04000000000002,68,8,2.54,ZA,1721587329
163,chibougamau,49.9168,-74.3659,13.160000000000025,72,100,5.51,CA,1721587330
164,ad dilam,23.9915,47.1627,37.450000000000045,11,100,2.6,SA,1721587332
165,santa rita,-7.1139,-34.9781,24.870000000000005,81,19,6.26,BR,1721587333
166,new norfolk,-42.7826,147.0587,12.180000000000007,95,100,0.61,AU,1721587334
167,tamanrasset,22.785,5.5228,32.74000000000001,21,100,4.05,DZ,1721587335
168,kapuskasing,49.4169,-82.4331,22.470000000000027,38,22,2.94,CA,1721587336
169,manokwari,-0.8667,134.0833,24.100000000000023,93,100,3.05,ID,1721587337
170,wailua homesteads,22.0669,-159.378,25.970000000000027,84,53,2.68,US,1721587338
171,laguna,38.421,-121.4238,31.970000000000027,29,0,4.34,US,1721587197
172,la rioja,42.25,-2.5,14.210000000000036,64,5,2.65,ES,1721587341
173,ohara,35.25,140.3833,25.52000000000004,96,29,5.46,JP,1721587342
174,arraial do cabo,-22.9661,-42.0278,21.200000000000045,71,0,5.38,BR,1721587343
175,plastun,44.7561,136.2939,18.03000000000003,97,2,2.26,RU,1721587344
176,susuman,62.7833,148.1667,11.770000000000039,93,100,0.67,RU,1721587346
177,remire-montjoly,4.9167,-52.2667,27.920000000000016,80,17,6.54,GF,1721587348
178,mahdalynivka,48.921,34.9156,26.210000000000036,24,100,3.53,UA,1721587349
179,vorkuta,67.5,64.0,9.230000000000018,65,100,3.43,RU,1721587350
180,eraan,9.0629,117.7016,26.08000000000004,83,100,3.67,PH,1721587352
181,kourou,5.1552,-52.6478,28.180000000000007,79,30,2.55,GF,1721587353
